지점명,주소,전화번호,지점의특징,시군구
강남우성,서울 강남구 강남대로66길 6,02-553-5232,업무지구,강남구
강남역,서울 강남구 강남대로96길 12,02-557-4727,업무지구,강남구
포이사거리,서울 강남구 논현로 84 1층,02-522-5777,업무지구,강남구
대치,서울 강남구 도곡로 447,02-562-8882,업무지구,강남구
신사,서울 강남구 도산대로 124 대영빌딩,02-546-2007,업무지구,강남구
수서역,서울 강남구 밤고개로 1길 10 B1,02-445-1636,업무지구,강남구
언주역,서울 강남구 봉은사로 206 대명빌딩,02-557-8805,업무지구,강남구
선정릉역,서울 강남구 봉은사로 328,02-555-9389,업무지구,강남구
삼성중앙역,서울 강남구 봉은사로 480,02-555-0696,업무지구,강남구
봉은사역,서울 강남구 봉은사로 627,02-545-5729,업무지구,강남구
삼성,서울 강남구 삼성로 520,02-2051-2008,업무지구,강남구
압구정로데오,서울 강남구 선릉로 806,02-545-1014,업무지구,강남구
압구정역,서울 강남구 압구정로 28길 13,02-548-1014,업무지구,강남구
대청,서울 강남구 일원로3길 4,02-459-7975,업무지구,강남구
역삼,서울 강남구 테헤란로 25길 20,02-501-1554,업무지구,강남구
테헤란로,서울 강남구 테헤란로 314 지하1층,02-555-1014,업무지구,강남구
선릉,서울 강남구 테헤란로 337,02-557-5004,업무지구,강남구
학동역,서울 강남구 학동로 171,02-515-1014,업무지구,강남구
고덕비즈밸리,서울 강동구 고덕비즈밸리로 38,02-442-0696,주거,강동구
고덕역,서울 강동구 동남로 75길 13-10,02-427-0217,주거,강동구
상일동,서울 강동구 상일로6길 21,070-8800-0217,주거,강동구
강동성심병원,서울 강동구 성안로 147 1층,02-476-1131,주거,강동구
길동역,"서울 강동구 양재대로 1471 길동 1층 103,110호",02-470-6032,주거,강동구
명일역,서울 강동구 양재대로 1625,02-477-5141,주거,강동구
천호,서울 강동구 올림픽로 664,02-485-1077,주거,강동구
천호역,서울 강동구 천호대로 1012,02-483-1079,주거,강동구
미아역,서울 강북구 도봉로 209,02-946-1596,주거,강북구
미아사거리역,서울 강북구 도봉로 41-1,02-988-1641,주거,강북구
삼양솔샘,서울 강북구 삼양로 162,02-6952-3399,주거,강북구
수유역,서울 강북구 오패산로 417,02-998-1641,주거,강북구
화곡역,서울 강서구 강서로 159-1,02-2603-5353,주거,강서구
양천향교역,"서울 강서구 강서로 471 엠코지니어스타 A동 1층 109, 110호",02-3662-6697,주거,강서구
목동사거리,서울 강서구 등촌로 23,070-8877-2543,주거,강서구
마곡나루역,서울 강서구 마곡서로 152,02-6989-9840,주거,강서구
발산역,서울 강서구 마곡중앙6로 93,02-3663-6837,주거,강서구
가양역,"서울 강서구 양천로 470 1층 102(일부), 103,106호",02-2668-6777,주거,강서구
증미역,서울 강서구 양천로 570,02-2013-5678,주거,강서구
서울대,서울 관악구 관악로 156,02-887-6887,대학상권,관악구
낙성대역,서울 관악구 남부순환로 1904,02-877-6687,대학상권,관악구
신림,서울 관악구 신림로 318,02-888-8884,주거,관악구
신림역,서울 관악구 신림로 344 SK허브그린,02-888-4455,주거,관악구
강변역,서울 광진구 강변역로4길 10,02-446-0423,주거,광진구
세종대,서울 광진구 광나루로 390,02-465-3285,대학상권,광진구
군자역,서울 광진구 능동로 290 삼일빌딩,02-456-6444,주거,광진구
뚝섬유원지역,"서울 광진구 뚝섬로34길 67 광진트라팰리스 101호, 102호",02-467-4556,주거,광진구
건대입구,서울 광진구 아차산로 241 연한빌딩 102호,02-499-9292,주거,광진구
광장,서울 광진구 아차산로 480,02-455-2224,주거,광진구
구의,서울 광진구 자양로 113 구의현대하이엘 1층,02-446-6444,주거,광진구
중곡역,서울 광진구 중곡동 30-80,02-456-9665,주거,광진구
아차산역,서울 광진구 천호대로 666,02-455-5440,주거,광진구
동양미래대,서울 구로구 경인로 445 동양미래대 8호관,02-2686-6890,대학상권,구로구
신도림,서울 구로구 경인로 661 1층 101호,02-2068-0269,업무지구,구로구
오류동역,서울 구로구 경인로20길 4,02-6368-3535,업무지구,구로구
구로NC,서울 구로구 구로중앙로 152,02-6923-2155,업무지구,구로구
구로디지털,서울 구로구 디지털로34길 55 코오롱싸이언스밸리 2차 109호,02-2088-7279,업무지구,구로구
가산디지털단지,서울 금천구 가산디지털1로 165 가산비지니스센터 102호,02-1544-1852,업무지구,금천구
가산그레이트밸리,서울 금천구 디지털로9길 32,02-866-7119,업무지구,금천구
시흥,서울 금천구 시흥대로 224 금천리메인시티 1층,02-805-2346,업무지구,금천구
독산,서울 금천구 시흥대로 399 112호,02-803-2346,업무지구,금천구
공릉,서울 노원구 공릉로 207,02-977-0045,주거,노원구
광운대역,서울 노원구 광운로 57,02-942-7779,대학상권,노원구
노원,서울 노원구 노해로 502 노원빌딩 1층,02-936-0501,주거,노원구
수락산역,서울 노원구 동일로 1669,02-2135-2535,주거,노원구
중계은행사거리,서울 노원구 한글비석로 269,02-952-2266,주거,노원구
쌍문역,"서울 도봉구 도봉로 468 1층 102호, 102-1호",02-999-5906,주거,도봉구
방학역,서울 도봉구 도봉로 684,02-956-1237,주거,도봉구
창동역,서울 도봉구 마들로13길 61,02-6958-7081,주거,도봉구
덕성여대,서울 도봉구 삼양로 538,02-6369-1990,대학상권,도봉구
경희대,서울 동대문구 경희대로 5-1,02-957-1589,대학상권,동대문구
장안사거리,서울 동대문구 답십리로 293,02-3390-4970,주거,동대문구
서울시립대학교,서울 동대문구 서울립대로 163,02-6490-5866,대학상권,동대문구
신설동역,서울 동대문구 왕산로 15-1,02-928-0258,주거,동대문구
청량리역사,서울 동대문구 왕산로 214,02-3707-1367,주거,동대문구
외대,서울 동대문구 이문로 116 그레이스 힐 타운,070-4137-7702,대학상권,동대문구
노량진역,서울 동작구 노량진로 152-1,Coming Soon,주거,동작구
이수역,서울 동작구 동작대로 119-1,02-599-1014,주거,동작구
보라매,서울 동작구 보라매로3길 29 해태보라매타워,02-832-2522,주거,동작구
숭실대,서울 동작구 사당로 10 지층 101호,02-812-3552,대학상권,동작구
신대방삼거리,서울 동작구 상도로 105,02-6085-0029,주거,동작구
중앙대,서울 동작구 흑석로 79,02-815-6429,대학상권,동작구
망원한강공원,서울 마포구 마포나루길 407,02-332-6612,업무지구,마포구
공덕역롯데캐슬,서울 마포구 마포대로 109 롯데캐슬프레지던트,02-713-7775,업무지구,마포구
애오개역,서울 마포구 마포대로 180,02-702-7672,업무지구,마포구
마포,서울 마포구 마포대로 53 마포트라팰리스,02-715-0080,업무지구,마포구
서강대,서울 마포구 백범로 21,02-711-7007,대학상권,마포구
합정역메세나폴리스,서울 마포구 양화로 45 메세나폴리스,02-384-9890,업무지구,마포구
홍대아트,서울 마포구 와우산로 117 102호,02-336-0522,대학상권,마포구
상수역,서울 마포구 와우산로 44,02-323-6934,업무지구,마포구
마포구청,서울 마포구 월드컵로 34길 7,02-307-6196,업무지구,마포구
망원역,서울 마포구 월드컵로 87 마포로얄프라자,02-338-9933,업무지구,마포구
상암,서울 마포구 월드컵북로 361 DMC 이안상암2단지,02-533-9464,업무지구,마포구
상암DMC푸르지오시티,서울 마포구 월드컵북로54길 25 상암DMC 푸르지오시티 103호,02-303-4566,업무지구,마포구
